                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of ANDAMAN AND NICOBAR ISLANDS State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645196,7 km Farm,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645166,Afra Bay,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645144,Akupa,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645168,Alexandera River,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645142,Anul/Anula,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645169,Ayouk,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645162,Bahua,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645148,Bewai/Kuwak,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645200,Campbell Bay,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645204,Chaw Nallaha,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645189,Chingen (incl.FC at Magar Nalla,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645167,Dairkurat,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645184,Dakhiyon (FC),
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645179,Danlet,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645174,Dogmar River,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645159,Elahi/Ilhoya,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645190,Galathia River (FC),
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645192,Gandhi Nagar,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645205,Gol Tikrey,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645199,Govinda Nagar,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645182,Hin-Pou-Chi,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645151,Hoin incl. Ikuia,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645154,Hokesiang,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645188,Indira Point,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645186,In-Hig-Loi,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645145,Inlock/Infock,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645157,Inlock/Pattia,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645160,Inod,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645195,Joginder Nagar,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645177,Kasintung,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645165,Katahu,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645149,Kiyang,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645178,Koe,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645183,Kokeon,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645175,Kopenheat,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645210,Lanaya,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645207,Lawful,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645193,Laxmi Nagar,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645143,Makhahu/Makachua,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645141,Minlana/Minlan,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645206,Navy Dera,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645203,Not yet named,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645202,Not yet named,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645197,Not yet named (at 27.9 km)-A,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645156,Olinchi/Bombay,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645181,Patatiya,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645209,Patisang,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645155,Pattia (Pulopattia),
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645152,Pea,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645161,Pehayo,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645211,Pitayo,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645150,Pulloullo/Puloulo,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645187,Pulobaha,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645147,Pulobaha/Pathathifen,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645170,Pulobed,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645164,Pulobed/Lababu,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645180,Pulobhabi,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645153,Pulobha/Pulobahan,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645171,Pulokunji,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645140,Pulomilo,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645158,Pulopanja,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645185,Pulopucca,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645146,Pulotalia/Pulotohio,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645201,Ranganathan Bay,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645173,Renguang,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645191,Sastri Nagar,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645198,Shompen hut,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645172,Shompen Village-A,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645176,Shompen Village-B,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645208,Trinket Bay,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,645194,Vijoy Nagar,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY,,,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645015,Arong,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645025,Big Lapati,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645023,Chuckchucha,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645018,IAF Camp,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645131,Kakana,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645016,Kimois,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645027,Kinmai,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645022,Kinyuka,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645163,Kondul,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645019,Malacca,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645095,Malacca*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645012,Mus,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645088,Mus*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645020,Perka,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645014,Sawai,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645026,Small Lapati,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645021,Tamaloo,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645024,Tapoiming,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR,645013,Teetop,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645030,Alhiat,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645053,Alhitoth/Alhiloth*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645094,Al-Hit-Touch/Balu Basti,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645085,Alipa/Alips*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645052,Alkaipoh/Alkripoh*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645115,Alointung*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645035,Aloora*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645034,Aloorang,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645117,Alpintu/Alpintung*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645101,Alreak*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645076,Alsama*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645074,Altaful*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645093,Altheak,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645121,Alukian/Alhukheck,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645066,Atkuna/Alkun*,
35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE,645116,Banderkari/Pulu,
