                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of ANDHRA PRADESH State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595406,Agali,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595401,Akkagaladevarahalli,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595405,Hulikeradevarahalli,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595400,Inagalore,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595407,Kodihalli,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595403,Madhudi,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595402,Narasambudi,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595404,P. Byadigera,
28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI,595399,Ravudi,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595503,Amadagur,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595508,Cheekirevulapalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595504,Chinaganipalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595511,Dademvaripalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595507,Edigavaripalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595506,Gadidamvaripalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595499,Jowkalakothapalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595509,Karinireddipalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595501,Kassamudram,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595512,Lokojipalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595500,Mohammadabad,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595510,Pulikuntlapalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595505,Ramanathapuram,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595498,S.Kuruvapalle,
28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR,595502,Thummala,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595372,Amarapuram,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595378,Basavanahalli,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595373,Halukuru,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595375,Hemavathi,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595374,Nidragatta,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595376,Sivaram,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595371,Thammadehalli,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595370,Valasa,
28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM,595377,Veerabommana Halli,
28,ANDHRA PRADESH,502,ANANTAPUR,4689,ANANTAPUR,595088,Alamuru,
28,ANDHRA PRADESH,502,ANANTAPUR,4689,ANANTAPUR,595098,Anantapur (CT),
