                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of ARUNACHAL PRADESH State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266825,Abohagam,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266826,Aphumna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266865,Baligam,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266853,Bomla,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266839,Bomna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266837,Chaglagam,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266834,Chakka,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266863,Chinagam,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266831,Chipra,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266861,Chipru,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266841,Chipuiliang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266848,Doringko,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266850,Gomin,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266860,Hamake,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266855,Hamaliang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266859,Hamangko,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266864,Hawaka,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266857,Ka angbro,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266824,Kaey Maro,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266822,Kalamna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266820,Khalega,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266821,"Khalega, Metengliang",
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266843,Khowegko,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266840,Kromna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266830,Mailiang-III,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266838,Metenglaiang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266867,Mithulangkap,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266866,Mithumna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266844,Pailiang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266854,Payagam,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266847,Payaparap,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266852,Rikong,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266849,Roiliang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266823,Tablaiko,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266845,Tabretong,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266846,Tadumna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266829,Taflagam,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266828,Taflagam (Lower),
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266842,Taimna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266832,Tamkadu,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266851,Tarafliang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266827,Tarampa,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266856,Tassipumna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266836,Tegamna,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266862,Tilang,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,266858,Tolai,
12,ARUNACHAL PRADESH,628,ANJAW,7069,CHAGLAGAM,,,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266961,12th K.M. Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266957,15th K.M. Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266955,45th K.m. Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266958,48th K.M. Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266956,50th K.M. Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266959,7th KM Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266960,Bah,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266872,Bara Kundan Labour Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266945,Bhaw,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266896,Bish point L/Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266921,Blong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266923,Charnai,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266949,Chendun,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266965,Chenguinty,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266915,Chowagong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266927,Chungung,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266919,Chunyu,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266878,Dhanbari,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266880,Dong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266941,Flu Lang,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266891,Gai,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266893,Gong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266894,Gorompani L/Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266936,Halaikrong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266887,Halla,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266964,Hawai B/Point,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266904,Helmet Top L/Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266879,Hot Spring,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266946,Hunung,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266868,Kaho,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266911,Kalai,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266888,Kalin,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266931,Kamblat,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266925,Kamdi,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266914,Kandai,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266890,Khampti Pani,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266900,Khampti Pani L/Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266954,Kherang,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266942,Kheyong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266892,Khrawit,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266876,Kibithoo,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266933,Kla,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266889,Kril,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266912,Kritong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266937,Krosong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266873,Krowti,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266874,Krowti Labour Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266871,Kundan,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266938,Lamkung,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266932,Lapkrong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266905,Lautul,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266953,Lautul-II,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266917,Longling,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266916,Marbow,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266947,Matkrong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266950,Mechong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266895,Minjong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266870,Misai labour Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266948,Mongakhong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266869,Musai,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266907,Navil,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266929,Ngi,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266934,Nukung,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266920,Perho,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266884,Permet,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266940,Pranju,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266966,Pranju L/Camp,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266939,Pranlung,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266913,Ruti,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266952,Samdul,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266943,Sanglang,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266886,Sarti,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266898,Sarti-III,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266897,Sethi,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266944,Shirong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266963,Shirong Khiyong,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266962,Staging Hut Krosam,
12,ARUNACHAL PRADESH,628,ANJAW,2207,HAWAI-WALONG,266951,Sung,
