                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of ASSAM State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
18,ASSAM,739,BAJALI,2489,BAJALI,283431,Akaya,
18,ASSAM,739,BAJALI,2489,BAJALI,283335,Bagapara,
18,ASSAM,739,BAJALI,2489,BAJALI,283424,Baghmara,
18,ASSAM,739,BAJALI,2489,BAJALI,283313,Balipara,
18,ASSAM,739,BAJALI,2489,BAJALI,283303,Bamunkuchi,
18,ASSAM,739,BAJALI,2489,BAJALI,283333,Bamunpara,
18,ASSAM,739,BAJALI,2489,BAJALI,283427,Bandha Sidhani,
18,ASSAM,739,BAJALI,2489,BAJALI,283292,Ban Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283336,Bangna Bari (Bangana Bari),
18,ASSAM,739,BAJALI,2489,BAJALI,283329,Bania Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283318,Bar-Bairagi,
18,ASSAM,739,BAJALI,2489,BAJALI,283288,Bar Bamakhata,
18,ASSAM,739,BAJALI,2489,BAJALI,283289,Barbang,
18,ASSAM,739,BAJALI,2489,BAJALI,283321,Barbatabari,
18,ASSAM,739,BAJALI,2489,BAJALI,283324,Barbhala,
18,ASSAM,739,BAJALI,2489,BAJALI,283315,Bar Bhaluki,
18,ASSAM,739,BAJALI,2489,BAJALI,283291,Bargandubi,
18,ASSAM,739,BAJALI,2489,BAJALI,283299,Bargunari,
18,ASSAM,739,BAJALI,2489,BAJALI,283432,Bar Manikpur,
18,ASSAM,739,BAJALI,2489,BAJALI,283316,Barsahan,
18,ASSAM,739,BAJALI,2489,BAJALI,283423,Barsidhani,
18,ASSAM,739,BAJALI,2489,BAJALI,283421,Batia Mari,
18,ASSAM,739,BAJALI,2489,BAJALI,283305,Belona,
18,ASSAM,739,BAJALI,2489,BAJALI,283338,Bhajkuchia Para,
18,ASSAM,739,BAJALI,2489,BAJALI,283304,Bhethua,
18,ASSAM,739,BAJALI,2489,BAJALI,283279,Bhogpur (Bhoupar),
18,ASSAM,739,BAJALI,2489,BAJALI,283276,Bhotanta Mohitara,
18,ASSAM,739,BAJALI,2489,BAJALI,283327,Bichan Kuchi,
18,ASSAM,739,BAJALI,2489,BAJALI,283330,Bilpar,
18,ASSAM,739,BAJALI,2489,BAJALI,283317,Bornalikuchi,
18,ASSAM,739,BAJALI,2489,BAJALI,283277,Borsaderi,
18,ASSAM,739,BAJALI,2489,BAJALI,283435,Chaibari,
18,ASSAM,739,BAJALI,2489,BAJALI,283434,Chemtia,
18,ASSAM,739,BAJALI,2489,BAJALI,283271,Chomua Ulua,
18,ASSAM,739,BAJALI,2489,BAJALI,283429,Dakshin Rehabari,
18,ASSAM,739,BAJALI,2489,BAJALI,283320,Dharamtala,
18,ASSAM,739,BAJALI,2489,BAJALI,283430,Doisingri (Doimingari),
18,ASSAM,739,BAJALI,2489,BAJALI,283328,Doloi Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283281,Doloi Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283297,Dubi,
18,ASSAM,739,BAJALI,2489,BAJALI,283310,Dumuria,
18,ASSAM,739,BAJALI,2489,BAJALI,283334,Garemari,
18,ASSAM,739,BAJALI,2489,BAJALI,283433,Gergeria,
18,ASSAM,739,BAJALI,2489,BAJALI,283283,Ghotbar Saderi,
18,ASSAM,739,BAJALI,2489,BAJALI,283325,Gobindapur,
18,ASSAM,739,BAJALI,2489,BAJALI,283286,Haguri Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283302,Jalikhata,
18,ASSAM,739,BAJALI,2489,BAJALI,283422,Kalbari,
18,ASSAM,739,BAJALI,2489,BAJALI,283337,Khara Dhara,
18,ASSAM,739,BAJALI,2489,BAJALI,283314,Khudra Bhaluki,
18,ASSAM,739,BAJALI,2489,BAJALI,283295,Kochdiga,
18,ASSAM,739,BAJALI,2489,BAJALI,283312,Konimara,
18,ASSAM,739,BAJALI,2489,BAJALI,283311,Kukua Batabari,
18,ASSAM,739,BAJALI,2489,BAJALI,283278,Kurobaha,
18,ASSAM,739,BAJALI,2489,BAJALI,283306,Lechera Para,
18,ASSAM,739,BAJALI,2489,BAJALI,283293,Maguri,
18,ASSAM,739,BAJALI,2489,BAJALI,283331,Maripur Anandapur,
18,ASSAM,739,BAJALI,2489,BAJALI,283287,Muguria,
18,ASSAM,739,BAJALI,2489,BAJALI,283282,Nagar Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283285,Nalana,
18,ASSAM,739,BAJALI,2489,BAJALI,283307,Nali Para,
18,ASSAM,739,BAJALI,2489,BAJALI,283332,Nimua,
18,ASSAM,739,BAJALI,2489,BAJALI,283274,Nitananda Panbari,
18,ASSAM,739,BAJALI,2489,BAJALI,283319,Niz-Sariha (Nizasariha),
18,ASSAM,739,BAJALI,2489,BAJALI,283339,Niz-Sathi Samukha,
18,ASSAM,739,BAJALI,2489,BAJALI,283426,Pachim Kathalmuri(Kathalguri),
18,ASSAM,739,BAJALI,2489,BAJALI,283326,Pahala Simalu Bari (Lalah),
18,ASSAM,739,BAJALI,2489,BAJALI,283273,Pakha Keteki Bari (Ketkibari),
18,ASSAM,739,BAJALI,2489,BAJALI,283290,Panara,
18,ASSAM,739,BAJALI,2489,BAJALI,283322,Patacharkuchi,
18,ASSAM,739,BAJALI,2489,BAJALI,283308,Pathsala Gaon,
18,ASSAM,739,BAJALI,2489,BAJALI,283272,Pipla (Piplala),
18,ASSAM,739,BAJALI,2489,BAJALI,283428,Pub Kathal Muri,
18,ASSAM,739,BAJALI,2489,BAJALI,283425,Pub-Rehabari,
18,ASSAM,739,BAJALI,2489,BAJALI,283284,Rahadhar Birkala,
18,ASSAM,739,BAJALI,2489,BAJALI,283301,Raipur,
18,ASSAM,739,BAJALI,2489,BAJALI,283280,Ratanpur,
18,ASSAM,739,BAJALI,2489,BAJALI,283294,Rupdiga,
18,ASSAM,739,BAJALI,2489,BAJALI,283323,Sariha Chakla (Sari Chakla),
18,ASSAM,739,BAJALI,2489,BAJALI,283296,Tihu Dekhata,
18,ASSAM,739,BAJALI,2489,BAJALI,283309,Titka Garia,
18,ASSAM,739,BAJALI,2489,BAJALI,283300,Titkataje,
18,ASSAM,739,BAJALI,2489,BAJALI,283275,Tuple Panbari,
18,ASSAM,739,BAJALI,2489,BAJALI,283298,Uparnoi,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283017,Aichara Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283013,Ambari,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283356,Ananda Pur,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283021,Bagaijan Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283410,Bagimari,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283387,Bagula Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283033,Bahmura,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283385,Bamunkutani,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283360,Bangli Para (Para Bengali),
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283403,Bangti,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283027,Baniara Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283409,Batua,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283413,Bhalaguri,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283412,Bhogpur,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283404,Borbhitha,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283418,Borbori,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283406,Borkur,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283340,Botiamari,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283396,Ceki,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283408,Charal Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283402,Chaulia Bori,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283346,Chengli Mari,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283344,Chinapatani,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283023,Dabalia Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283378,Daira Buri,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283414,Dakshin Bhalaguri,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283371,Dakshin Hati,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283388,Dalimar Bhitha,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283035,Dangarkuchi,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283391,Darupara,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283382,Datir Bori,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283024,Datta Kuchi,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283032,Deuri Kuchi,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283016,Dewlipara,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283025,Dhakalia Para (Dhakia Para),
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283034,Dhan Bandha,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283351,Dhemchar Pathar,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283345,Dhumar Pathar,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283354,Dhupal Para,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283349,Digjira,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283405,Dolor Pathar,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283031,Dona Kuchi,
18,ASSAM,739,BAJALI,2491,BHABANIPUR,283375,Galia,
