                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of CHANDIGARH State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
4,CHANDIGARH,44,CHANDIGARH,351,CHANDIGARH,,Kaimbwala,
4,CHANDIGARH,44,CHANDIGARH,,CHANDIGARH,,Sarangpur,
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Dhanas,
"Mar 31, 2022 6:22 PM",CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Raipur Khurd,
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Raipur Kalan & Makhan Majra,
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Khuda Alisher (CT),
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,"Mani Majra (R), Basti Kishangarh, Basti Bhagwanpur",
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Daria (CT),
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Mauli Jagran (CT),
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Behlana (CT),
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Lahora (OG),
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Khuda Jassu (OG),
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Chandigarh (M Corp. + OG) ,
,CHANDIGARH,,CHANDIGARH,,CHANDIGARH,,Chandigarh (M Corp.) ,
