                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of DELHI State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
7,DELHI,77,CENTRAL,,Civil Lines,,Badar Pur Majra Burari,
7,DELHI,78,CENTRAL,,Civil Lines,,Burari (CT),
7,DELHI,79,CENTRAL,,Civil Lines,,Jagat Pur ilaqa Delhi,
7,DELHI,80,CENTRAL,,Civil Lines,,Jagat Pur ilaqa Shahdara (un-inhabited),
7,DELHI,81,CENTRAL,,Civil Lines,,Jharoda Majra Burari (CT),
7,DELHI,82,CENTRAL,,Civil Lines,,Kamal Pur Majra Burari (CT),
7,DELHI,671,CENTRAL,,Civil Lines,,Mukand Pur (CT),
7,DELHI,83,CENTRAL,,Civil Lines,,Salem Pur Majra Burari,
7,DELHI,670,EAST,,Gandhi Nagar,,Shakar Pur Baramad (CT),
7,DELHI,84,EAST,,Mayur Vihar,,Chilla Saroda Bangar (CT),
7,DELHI,85,EAST,,Mayur Vihar,,Chilla Saroda Khadar (CT),
,DELHI,,EAST,,Mayur Vihar,,Dallo Pura (CT),
,DELHI,,EAST,,Mayur Vihar,,Gharoli (CT),
"Mar 31, 2022 6:28 PM",DELHI,,EAST,,Mayur Vihar,,Kondli (CT),
,DELHI,,EAST,,Preet Vihar,,Gharonda Neemka Bangar alias Patpar Ganj (CT),
,DELHI,,EAST,,Preet Vihar,,Shamas Pur,
,DELHI,,NEW DELHI,,Delhi Cantonment,,Moradabad Pahari (CT),
,DELHI,,NEW DELHI,,Vasant Vihar,,Ghitorni (CT),
,DELHI,,NEW DELHI,,Vasant Vihar,,Kapas Hera (CT),
,DELHI,,NEW DELHI,,Vasant Vihar,,Kusum Pur (CT),
,DELHI,,NEW DELHI,,Vasant Vihar,,Malik Pur Kohi alias Rang Puri (CT),
,DELHI,,NEW DELHI,,Vasant Vihar,,Rajokri (CT),
,DELHI,,NEW DELHI,,Vasant Vihar,,Sambhalka (CT),
,DELHI,,NORTH,,Alipur,,Akbar Pur Majra,
,DELHI,,NORTH,,Alipur,,Ali Pur (CT),
,DELHI,,NORTH,,Alipur,,Bakhtawar Pur (CT),
,DELHI,,NORTH,,Alipur,,Bankauli (CT),
,DELHI,,NORTH,,Alipur,,Bodh Pur Bija Pur,
,DELHI,,NORTH,,Alipur,,Fateh Pur Jat,
,DELHI,,NORTH,,Alipur,,Garhi Khasru,
,DELHI,,NORTH,,Alipur,,Hamid Pur,
,DELHI,,NORTH,,Alipur,,Hiranki,
,DELHI,,NORTH,,Alipur,,Ibrahim Pur (CT),
,DELHI,,NORTH,,Alipur,,Jhangola,
,DELHI,,NORTH,,Alipur,,Kham Pur,
,DELHI,,NORTH,,Alipur,,Khera Kalan (CT),
,DELHI,,NORTH,,Alipur,,Libas Pur (CT),
,DELHI,,NORTH,,Alipur,,Mohd. Pur Ramzan Pur,
,DELHI,,NORTH,,Alipur,,Mukhmel Pur (CT),
,DELHI,,NORTH,,Alipur,,Nangli Poona,
,DELHI,,NORTH,,Alipur,,Palla,
,DELHI,,NORTH,,Alipur,,Qadi Pur (CT),
,DELHI,,NORTH,,Alipur,,Qullak Pur,
,DELHI,,NORTH,,Alipur,,Sahibabad Daulat Pur (CT),
,DELHI,,NORTH,,Alipur,,Singhola,
,DELHI,,NORTH,,Alipur,,Singhu,
,DELHI,,NORTH,,Alipur,,Siras Pur (CT),
,DELHI,,NORTH,,Alipur,,Sunger Pur Delhi,
,DELHI,,NORTH,,Alipur,,Sunger Pur Shahdara (un-inhabited),
,DELHI,,NORTH,,Alipur,,Taj Pur Kalan,
,DELHI,,NORTH,,Alipur,,Tehri Daulat Pur (Un-inhabited),
,DELHI,,NORTH,,Alipur,,Tigi Pur,
,DELHI,,NORTH,,Alipur,,Zind Pur,
,DELHI,,NORTH,,Model Town,,Bhalswa Jahangir Pur (CT),
,DELHI,,NORTH,,Model Town,,Shanjar Pur(un-inhabited),
,DELHI,,NORTH,,Narela,,Bankner (CT),
,DELHI,,NORTH,,Narela,,Barwala (CT),
,DELHI,,NORTH,,Narela,,Bawana (CT),
,DELHI,,NORTH,,Narela,,Bazid Pur Thakran,
,DELHI,,NORTH,,Narela,,Bhor Garh (CT),
