                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of GOA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
30,GOA,551,NORTH GOA,5929,BARDEZ,626704,Aldona (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626694,Anjuna (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626673,Arpora,
30,GOA,551,NORTH GOA,5929,BARDEZ,626672,Assagao,
30,GOA,551,NORTH GOA,5929,BARDEZ,626668,Assonora,
30,GOA,551,NORTH GOA,5929,BARDEZ,626678,Bastora,
30,GOA,551,NORTH GOA,5929,BARDEZ,626695,Calangute (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626685,Calvim,
30,GOA,551,NORTH GOA,5929,BARDEZ,626663,Camurlim,
30,GOA,551,NORTH GOA,5929,BARDEZ,626677,Canca,
30,GOA,551,NORTH GOA,5929,BARDEZ,626697,Candolim (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626691,Colvale (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626683,Corjuem,
30,GOA,551,NORTH GOA,5929,BARDEZ,626693,Guirim (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626671,Marna,
30,GOA,551,NORTH GOA,5929,BARDEZ,626689,Marra,
30,GOA,551,NORTH GOA,5929,BARDEZ,626692,Moira (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626667,Moitem,
30,GOA,551,NORTH GOA,5929,BARDEZ,626682,Nachinola,
30,GOA,551,NORTH GOA,5929,BARDEZ,626665,Nadora,
30,GOA,551,NORTH GOA,5929,BARDEZ,626674,Nagoa,
30,GOA,551,NORTH GOA,5929,BARDEZ,626698,Nerul (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626686,Olaulim,
30,GOA,551,NORTH GOA,5929,BARDEZ,626662,Oxel,
30,GOA,551,NORTH GOA,5929,BARDEZ,626679,Paliem,
30,GOA,551,NORTH GOA,5929,BARDEZ,626675,Parra,
30,GOA,551,NORTH GOA,5929,BARDEZ,626701,Penha-de-Franca (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626700,Pilerne (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626666,Pirna,
30,GOA,551,NORTH GOA,5929,BARDEZ,626687,Pomburpa,
30,GOA,551,NORTH GOA,5929,BARDEZ,626684,Ponolem,
30,GOA,551,NORTH GOA,5929,BARDEZ,626680,Punola,
30,GOA,551,NORTH GOA,5929,BARDEZ,626699,Reis Magos (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626664,Revora,
30,GOA,551,NORTH GOA,5929,BARDEZ,626696,Saligao (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626702,Salvador do Mundo (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626688,Sangolda,
30,GOA,551,NORTH GOA,5929,BARDEZ,626690,Siolim (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626669,Sircaim,
30,GOA,551,NORTH GOA,5929,BARDEZ,626703,Socorro (CT),
30,GOA,551,NORTH GOA,5929,BARDEZ,626670,Tivim,
30,GOA,551,NORTH GOA,5929,BARDEZ,626681,Ucassaim,
30,GOA,551,NORTH GOA,5929,BARDEZ,626676,Verla,
30,GOA,551,NORTH GOA,5929,BARDEZ,,,
30,GOA,551,NORTH GOA,5930,BICHOLIM,626745,Adwalpale,
30,GOA,551,NORTH GOA,5930,BICHOLIM,626758,Amone,
30,GOA,551,NORTH GOA,5930,BICHOLIM,626754,Aturli,
30,GOA,551,NORTH GOA,5930,BICHOLIM,924814,Bordem,
30,GOA,551,NORTH GOA,5930,BICHOLIM,626763,Carapur (CT),
30,GOA,551,NORTH GOA,5930,BICHOLIM,626760,Cotombi,
30,GOA,551,NORTH GOA,5930,BICHOLIM,626757,Cudnem,
30,GOA,551,NORTH GOA,5930,BICHOLIM,626750,Curchirem,
