                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of HARYANA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
6,HARYANA,58,AMBALA,447,AMBALA-I,57489,Adho Majra (278),
6,HARYANA,58,AMBALA,447,AMBALA-I,57426,Ahema (175),
6,HARYANA,58,AMBALA,447,AMBALA-I,57463,Alauddin Majra (301),
6,HARYANA,58,AMBALA,447,AMBALA-I,57436,Amipur (258),
6,HARYANA,58,AMBALA,447,AMBALA-I,57371,Anandpur Jalbera (121),
6,HARYANA,58,AMBALA,447,AMBALA-I,57412,Babaheri (165),
6,HARYANA,58,AMBALA,447,AMBALA-I,57445,Baknaur (282),
6,HARYANA,58,AMBALA,447,AMBALA-I,57368,Balana (173),
6,HARYANA,58,AMBALA,447,AMBALA-I,913221,Balapur,
6,HARYANA,58,AMBALA,447,AMBALA-I,57446,Bamba (302),
6,HARYANA,58,AMBALA,447,AMBALA-I,57451,Banhpur (288),
6,HARYANA,58,AMBALA,447,AMBALA-I,57402,Bara (123),
6,HARYANA,58,AMBALA,447,AMBALA-I,57488,Baraul (277),
6,HARYANA,58,AMBALA,447,AMBALA-I,57428,Baringan (260),
6,HARYANA,58,AMBALA,447,AMBALA-I,57487,Barola (276),
6,HARYANA,58,AMBALA,447,AMBALA-I,57458,Batrohan (294),
6,HARYANA,58,AMBALA,447,AMBALA-I,57409,Bego Majra (181),
6,HARYANA,58,AMBALA,447,AMBALA-I,57405,Behbalpur (170),
6,HARYANA,58,AMBALA,447,AMBALA-I,57490,Bersan (268),
6,HARYANA,58,AMBALA,447,AMBALA-I,57408,Bhano Kheri (180),
6,HARYANA,58,AMBALA,447,AMBALA-I,57424,Bhari (176),
6,HARYANA,58,AMBALA,447,AMBALA-I,57469,Bhuni (290),
6,HARYANA,58,AMBALA,447,AMBALA-I,57433,Bhurangpur (286),
6,HARYANA,58,AMBALA,447,AMBALA-I,913223,Bhure Majra,
6,HARYANA,58,AMBALA,447,AMBALA-I,57499,Bichpari (270),
6,HARYANA,58,AMBALA,447,AMBALA-I,57482,Bishangarh (305),
6,HARYANA,58,AMBALA,447,AMBALA-I,57471,Chhapra (321),
6,HARYANA,58,AMBALA,447,AMBALA-I,57462,Chugna (299),
6,HARYANA,58,AMBALA,447,AMBALA-I,57473,Danipur (322),
6,HARYANA,58,AMBALA,447,AMBALA-I,57450,Daudpur (287),
6,HARYANA,58,AMBALA,447,AMBALA-I,57503,Dhanora (187),
6,HARYANA,58,AMBALA,447,AMBALA-I,57502,Dhanori (186),
6,HARYANA,58,AMBALA,447,AMBALA-I,57457,Dhelo Majra (293),
6,HARYANA,58,AMBALA,447,AMBALA-I,57403,Dhorali (169),
6,HARYANA,58,AMBALA,447,AMBALA-I,57369,Dhurala (119),
6,HARYANA,58,AMBALA,447,AMBALA-I,57365,Dhurkra (118),
6,HARYANA,58,AMBALA,447,AMBALA-I,57430,Dingerian (261),
6,HARYANA,58,AMBALA,447,AMBALA-I,57495,Dorana (271),
6,HARYANA,58,AMBALA,447,AMBALA-I,57397,Dukheri (161),
6,HARYANA,58,AMBALA,447,AMBALA-I,57498,Fazalpur (251),
6,HARYANA,58,AMBALA,447,AMBALA-I,57475,Getpura (324),
6,HARYANA,58,AMBALA,447,AMBALA-I,57434,Ghagru (284),
6,HARYANA,58,AMBALA,447,AMBALA-I,57419,Gobindgarh (255),
