                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of HIMACHAL PRADESH State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19901,Asha Manjhari (23),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19761,Badhiat (176),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19818,Badhu (262),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19770,Badsaur (195),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19747,Bagaun (122),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19674,Bagharin (148),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19951,Bagh Kalan (18),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19882,Bagh Phaglatan (81),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19713,Bagi (180),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19945,Bag Khurd (29),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19695,Bahal Bhalwan (172),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19897,Bahli (61),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19682,Bahli Jaleda (153),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19824,Bahl Knaita (279),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19762,Baihl Kandaila (175),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19684,Balhi Vilan (151),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19745,Baloh (127),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19760,Bamta (201),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19714,Banaula (183),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19771,Bandla (194),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19705,Bandla Miyan (166),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19733,Barmana (128),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19896,Barnu (59),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19772,Barog (187),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19680,Barota Jatan (140),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19866,Batho (53),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19741,Bauhat (114),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19688,Benla Brahmana (157),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19725,Beri Rajadyan (141),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19706,Bhajhwal (177),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19923,Bhajun (247),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19813,Bhal Pothar (276),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19919,Bhalwad (38),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19920,Bhando (37),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19868,Bhandokhar (87),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19691,Bhandwar (164),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19794,Bharari (227),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19677,Bharathu (149),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19845,Bhareter (98),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19903,Bharoli (40),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19765,Bhartpur (204),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19673,Bhatehr Nichli (154),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19732,Bhatehr Uparli (129),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19904,Bhatoli (41),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19894,Bhojpur (84),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19854,Bholi (51),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19864,Bogar (54),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19924,Boh (239),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19834,Chadhan (256),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19812,Chaihri (277),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19694,Chakli (160),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19835,Chalaili (238),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19872,Chambi (77),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19884,Chambiara (83),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19754,Chamlog (111),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19739,Chamyon (115),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19704,Chandpur (165),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19883,Chandpur (82),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19798,Changar Palasiyan (231),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19892,Chanjota (62),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19876,Charahu (73),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19879,Chhakoh (70),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19817,Chharol (278),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19679,Chharol Jatan (139),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19726,Chharol Rajadiyan (142),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19865,Chilag (57),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19815,Chilla (263),
2,HIMACHAL PRADESH,15,BILASPUR,135,BILASPUR SADAR,19932,Dabar (4),
