                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of JAMMU AND KASHMIR State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3768,Akin Gam,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3813,Bedoora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3734,Brakpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3700,Brinty Batpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,923053,C.S. Pora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3765,Dam Hall,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3669,Davipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3680,Gopalpora Kalan,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3681,Gopalpora Khurd,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3673,Hardituroo,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3767,Hard Pora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3701,Imoh,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3671,Isusoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3679,Kadapora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3704,Kanganhall,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3670,Kawrigam,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,923056,Khundroo,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,923052,KULGAD,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3678,Magraypora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3770,Moharipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3683,Nunwani,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3699,Palpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3703,Rakh Tailwani,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,923055,SHELIPORA,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3685,Srundoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,923057,Sunsooma,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3676,Tailwani,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3702,Thajiwara,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,923058,Traphoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3731,Ullbugnowgam,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3766,Umberkhar,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,3686,Watergam,
1,JAMMU AND KASHMIR,1,ANANTNAG,1,ACHABAL,,,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3663,Adbugh,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3664,Anzuwallah,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3726,Bangi Nowgam,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3738,Batnegoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3729,Bonidialgam,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3722,Chee,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3692,Chichripora,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3733,Donipawa,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3725,Ghat Pushwara,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3695,Gunoora,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3728,Hanji Danter,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3690,Kamad,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3707,Kanji Gund,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,922989,K.G. Rania,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3739,Khandipahari,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3691,Lalan,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3658,Mati Pora,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3723,Mirgund,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3727,Munghall,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3694,Muniward,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3660,Now Bugh,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3688,Pethdailgam,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,922992,Rakh Chee,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3661,Rakhi Now Bugh,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3693,Ruhoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3662,Sepan,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3705,Shamsipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3709,Sursoona,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3724,T.B. Shah,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3710,Turkutchloo,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3689,Ugjan,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3706,Urhanhall,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3730,Uttersonajigund,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,3687,Wani Hama,
1,JAMMU AND KASHMIR,1,ANANTNAG,6861,Anantnag,,,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3621,Adder,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,923380,ARWANI,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3610,Dupatyar,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3614,Gadiser,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3615,Gantalpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3632,Gundchahal,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3627,Gund Nasir,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3598,Gund Nawrooz,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3620,Guree,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3633,Hassanpora Bagh,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,923376,Hassanpora Tawala,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3611,Hayar,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3625,Humzipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3601,Indermuni,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3628,Jablipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3600,Kandipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3594,Katoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3612,Katritang,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3617,Krandigam,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3584,Marhama,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,923379,Moman Danjipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3622,Naian Gund Baba Khalil,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3602,Opzan,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3629,Rakh Hassanpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3599,Rakh Katritang,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3630,Rakh Moman Danjipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3623,Sangam,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3626,Semthan,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3583,Sether Staiger,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3596,Shalgam,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3595,Shiti Pora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3634,Subhanphari,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3613,Takibal,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3616,THAJIWARA,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3631,Trubjee,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3624,Tulkhan,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3619,Veeri,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,3597,Waghama,
1,JAMMU AND KASHMIR,1,ANANTNAG,7020,Bijibehara,,,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3805,Adhall,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3797,Adigam,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3798,Bindoo Zalan Gam,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3801,Dawoodpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3796,Deval Gam,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,936452,Gadoel Alhan,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3806,Halpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3780,Irkihmoo,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3783,Kharpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3807,Lohersanzi,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3777,Nagam,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3800,Nala Sunbarie,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3782,Panzigam,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3781,Sofshali,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,3799,Takiya Magam,
1,JAMMU AND KASHMIR,1,ANANTNAG,2,BRENG,,,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3744,Brah,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3748,Brimer Narsar,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3749,Chaklipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3753,Charipora,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3747,Chittergul,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3752,Chowgam,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3745,Dethunagnarian,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3746,Ohpaison,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3743,Rakhi Brah,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3751,Tanjimullah,
1,JAMMU AND KASHMIR,1,ANANTNAG,7021,Chathergul,3750,Thimran,
1,JAMMU AND KASHMIR,1,ANANTNAG,3,DACHNIPORA,3578,Adlash Magam,
1,JAMMU AND KASHMIR,1,ANANTNAG,3,DACHNIPORA,3608,Aswara,
1,JAMMU AND KASHMIR,1,ANANTNAG,3,DACHNIPORA,3604,Banderpora,
1,JAMMU AND KASHMIR,1,ANANTNAG,3,DACHNIPORA,3592,Bewoora,
