                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of JHARKHAND State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
20,JHARKHAND,322,BOKARO,3064,BERMO,362294,Armo,
20,JHARKHAND,322,BOKARO,3064,BERMO,906352,Baidkaro,
20,JHARKHAND,322,BOKARO,3064,BERMO,906353,BAIDKARO ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906354,Bermo,
20,JHARKHAND,322,BOKARO,3064,BERMO,906355,BERMO ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906356,BERMO ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906357,Bodia,
20,JHARKHAND,322,BOKARO,3064,BERMO,906358,BODIA ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,362293,Gandke,
20,JHARKHAND,322,BOKARO,3064,BERMO,906359,Gobindpur,
20,JHARKHAND,322,BOKARO,3064,BERMO,906363,GOVINDPUR ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906362,GOVINDPUR ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906361,GOVINDPUR ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906360,GOVINDPUR ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906364,GOVINDPUR ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906365,Jarangdih,
20,JHARKHAND,322,BOKARO,3064,BERMO,906366,JARANGDIH ANSH,
20,JHARKHAND,322,BOKARO,3064,BERMO,906370,jaridih,
20,JHARKHAND,322,BOKARO,3064,BERMO,906369,jaridih,
20,JHARKHAND,322,BOKARO,3064,BERMO,362297,Kurpania,
20,JHARKHAND,322,BOKARO,3064,BERMO,362295,Lukubad,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362731,Adarkunri,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362726,Agardi,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362782,Aluara,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362843,Amainagar,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362817,Amdiha,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362847,Amdiha,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362853,Amlabad (CT),
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362755,Arita,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362771,Asanbani,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362798,Asanshol,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,912553,Babugram,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362830,Babuigor,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362775,Bangaria,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362808,Banshara,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362829,Banshgari,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362759,Banshtora,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362774,Barajor,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362751,Baramesya,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362850,Barda,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362763,Barishabad,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362835,Barkama,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362781,Batbinor,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362733,Batboa,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362758,Bharajuri,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362854,Bhojudih (CT),
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362820,Bhuski,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362768,Bindabanpur,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362792,Birajdi,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362838,Birkham,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362842,Bodma,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362832,Bogla,
20,JHARKHAND,322,BOKARO,3065,CHANDANKIYARI,362750,Boryadi,
