                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of KARNATAKA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598748,Adagal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598647,Agasarakoppa,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598713,Aladakatti,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598724,Alur .S.K.,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598769,Anantagiri,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598636,Anawal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598741,Bachinagudd,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598750,Badami (Rural) *,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598632,Bandakeri,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598718,Bankaneri,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598726,Beeranur,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598717,Belawalakoppa,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598641,Bellikindi,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598766,Belur,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598740,Bhadra Nayakan Jalihal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598758,Budihal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598735,Chikkamuchalagudda,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598755,Chikkanasabi,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598709,Chimmanakatti,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598654,Chinchalakatti,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598710,Chirlakoppa,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598756,Cholachagudda,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598765,Dhanakashirur,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598643,Fakeerabudihal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598627,Ganganabudihal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598743,Gonal,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598746,Govanaki,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598727,Govanakoppa,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598649,Gubberakoppa,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598768,Guddada Mallapur,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598723,Haganur,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598699,Halageri,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598658,Halakurki,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598698,Haligeri,
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598655,Hanamaneri (G),
29,KARNATAKA,524,BAGALKOTE,5753,BADAMI,598623,Hanamaneri Inam,
