                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of LADAKH State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
37,LADAKH,6,KARGIL,7042,Barsoo,1043,Barsoo,
37,LADAKH,6,KARGIL,7042,Barsoo,1044,Barto,
37,LADAKH,6,KARGIL,7042,Barsoo,1046,Itchoo,
37,LADAKH,6,KARGIL,7042,Barsoo,1042,KarcheY Khar,
37,LADAKH,6,KARGIL,7042,Barsoo,1047,Khandi,
37,LADAKH,6,KARGIL,7042,Barsoo,1045,Shergandi,
37,LADAKH,6,KARGIL,7042,Barsoo,,,
37,LADAKH,6,KARGIL,7039,Bhimbat,1000,Biambiat,
37,LADAKH,6,KARGIL,7039,Bhimbat,998,Chokial,
37,LADAKH,6,KARGIL,7039,Bhimbat,1001,Gindial,
37,LADAKH,6,KARGIL,7039,Bhimbat,1013,Jusgund,
37,LADAKH,6,KARGIL,7039,Bhimbat,978,Kharbu,
37,LADAKH,6,KARGIL,7039,Bhimbat,996,Shimsha,
37,LADAKH,6,KARGIL,7039,Bhimbat,997,Thasgam,
37,LADAKH,6,KARGIL,7039,Bhimbat,999,Thrangos,
37,LADAKH,6,KARGIL,7039,Bhimbat,1011,Yalboo,
37,LADAKH,6,KARGIL,67,DRASS,1007,Batokul,
37,LADAKH,6,KARGIL,67,DRASS,1003,Goshan,
37,LADAKH,6,KARGIL,67,DRASS,1012,Haripora,
37,LADAKH,6,KARGIL,67,DRASS,1004,Holiyal,
37,LADAKH,6,KARGIL,67,DRASS,1009,Matayan,
37,LADAKH,6,KARGIL,67,DRASS,1002,Murad Bagh,
37,LADAKH,6,KARGIL,67,DRASS,1006,Mushku,
37,LADAKH,6,KARGIL,67,DRASS,1008,Pandras,
37,LADAKH,6,KARGIL,67,DRASS,1005,Rambirpur (Drass),
37,LADAKH,6,KARGIL,67,DRASS,1010,Tronjen (Trankuchan),
37,LADAKH,6,KARGIL,6540,GM PORA (TRESPONE),1033,Gund Mangl Pur,
37,LADAKH,6,KARGIL,6540,GM PORA (TRESPONE),1030,Kanor,
37,LADAKH,6,KARGIL,6540,GM PORA (TRESPONE),1029,Saleskot,
37,LADAKH,6,KARGIL,6540,GM PORA (TRESPONE),1031,Tambis,
37,LADAKH,6,KARGIL,6540,GM PORA (TRESPONE),1028,Tres Pone,
37,LADAKH,6,KARGIL,68,KARGIL,1014,Batambis,
37,LADAKH,6,KARGIL,68,KARGIL,994,Choskar,
37,LADAKH,6,KARGIL,68,KARGIL,979,Chuliskambo,
37,LADAKH,6,KARGIL,68,KARGIL,974,Hardas,
