                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of LAKSHADWEEP State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5940,Agatti,627044,Agatti,
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5941,Agatti,627030,Bangaram,
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5942,Agatti,,Kalpitti,
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,7356,Agatti,627031,Parali (I),
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5943,Agatti,627032,Parali (II),
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5944,Agatti,627034,Parali (III),
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5945,Agatti,,Tinnakara,
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5946,Amini,,Amini (CT),
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5947,Andrott,,Andrott (CT),
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,5948,Bitra,,Bitra,
31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,,Chetlat,,Chetlat,
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kadmat,,Kadmat (CT),
"Apr 1, 2022 11:04 AM",LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Cheriyam,
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Kalpeni (CT),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Kodithala,
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Pitti (I),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Pitti (II),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Tilakkam (I),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Tilakkam (II),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kalpeni,,Tilakkam (III),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kavaratti,,Kavaratti (CT),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kavaratti,,Pitti (Birds' Island),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kavaratti,,Suheli Cheriyakara,
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kavaratti,,Suheli Valiyakara,
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Kiltan,,Kiltan,
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Minicoy,,Minicoy (CT),
,LAKSHADWEEP,,LAKSHADWEEP DISTRICT,,Minicoy,,Viringili,
