                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of MADHYA PRADESH State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472592,Abhaypur,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472509,Ahir Bardiya,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472542,Akha Khedi,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472633,Akya Bhati,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472613,Alampura,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472503,Amla Agar,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472609,Anandpur,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472577,Arani,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472594,Arniya,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472522,Awar,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472599,Bada Beed Jagatpura,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472553,Badgon,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,928013,Bajana ka Kheda,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472568,Bajna,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472517,Bans Khedi,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472500,Bapcha Agar,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472634,Batawada,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472515,Bet Kheda,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472551,Bhacha Khedi,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472631,Bhadbhunji,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472593,Bhadka,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472554,Bhadwa,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472512,Bhanpura,
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472501,Bhimlod (Pancharundi),
23,MADHYA PRADESH,667,AGAR MALWA,4000,AGAR,472564,Bhimpura Agar,
