                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of MAHARASHTRA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557293,Abit Khind,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557238,Agar,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557249,Agastinagar (N.V.),
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557248,Akola,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557253,Ambad,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557140,Ambevangan,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557282,Ambhol,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557225,Ambikanagar (N.V.),
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557190,Ambit,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557252,Aurangpur,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557134,Babhul Wandi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557315,Badgi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557228,Bahirwadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557180,Balthan,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557182,Baravwadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557127,Bari,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557311,Belapur,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557162,Bhandardara,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557169,Bhojadarawadi (N.V.),
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557284,Bholewadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557200,Bitaka,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557285,Bori,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557309,Bramhanwada,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557312,Chaitanyapur,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557198,Chandgirwadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557289,Chand Suraj,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557307,Chas,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557143,Chichondi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557256,Chinchavane,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557167,Chital Wedhe,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557211,Dagadwadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557138,Deogaon,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557216,Deothan,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557267,Dhagewadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557254,Dhamangaon-awari,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557259,Dhamangaon Pat,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557175,Dhamanvan,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557224,Dhokri,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557250,Dhumalwadi,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557136,Digambar,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557219,Dongargaon,
27,MAHARASHTRA,466,AHMEDNAGAR,4277,AKOLE,557133,Dongarwadi,
