                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of MANIPUR State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,928292,BISHNUPUR AWANG,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,928301,BISHNUPUR KHA,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913571,Chandpur,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913572,Chingmei,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269899,Kangshoibi Mapal (Kha Thingungei),
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913570,Keibul,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913568,KEIRENPHABI,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269885,Khoijuman Khullen including Kabui,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269886,Khoijuman Khunou (Kwasiphai),
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269916,Khordak,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913569,Moirang Khunou,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269887,Nachou,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,928304,NINGTHOUKHONG AWANG,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269890,Ningthoukhong Kha-Khunou,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269915,Nongmaikhong,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269888,Potsangbam,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913654,Thanga Chingkha,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913556,THANGA HEISNAM,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269902,Thanga Ithing and Sendra,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913590,Thanga Karang and Champu Khangpok,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913562,Thanga Khunjem,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269903,Thanga Lawai,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913559,Thanga Moirangthem,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913558,Thanga Ngaram,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913655,Thanga Oinam,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913557,THANGA SALAM,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913563,Thanga Samukon,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913561,Thanga Tongbram and Khoirom,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,269891,Thinungei,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913640,Toupokpi,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,913596,Upokpi,
14,MANIPUR,252,BISHNUPUR,2359,BISHNUPUR,,,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913573,Borayangbi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269910,Chairel Leingangtabi and Khullakpat,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913579,Heiyaikon,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269908,Ithai,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913598,Ithai Khunou,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269911,Kasom Tampak,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913575,Khoijumantabi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269895,Khoirentak,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913652,Khudekpi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,928289,KUMBI,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,928638,KWAKTA,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913586,Kwakta Charangpat,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913584,Kwakta Khuman,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269898,Kwakta Leimaram (SC),
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913587,Kwakta Maronglou,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913585,Kwakta Santhong,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913588,Kwakta Sepla,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913599,Laikhong,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913574,Laingoubi and Sandangkhong,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,935263,Leitangpokpi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,928285,MOIRANG PART-I,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,928287,MOIRANG PART-II,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269912,Napat and Tangjeng,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269894,Naranseina,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269897,Ngangkha Lawai,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,928370,NGANGKHALAWAI(P),
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913580,Nganukon,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269892,Phubala,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913576,Pombikhok,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269905,Sagang Meitei,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913593,Sagolpat,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269900,Saiton,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913577,Salam Konjil pt-I,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913578,Salam Konjil Pt-II and Shantipur,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269893,Sunusiphai,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913650,Terakhongsangbi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269896,Thamnapokpi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913566,Torbung,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913567,Torbung Bangla Waikhurok,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913565,Torbung Phougakchao Ikhai Part I,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269907,Torbung Phougakchao Ikhai Part II,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913651,Tronglaobi,
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913600,Wangoo Awang (Wangoo Ahallup),
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,269906,Wangoo Keirap (Haotak Tampha khunou),
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913602,Wangoo Makha (Wangoo Ahallup),
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913601,Wangoo Mayai (Wangoo Ahallup),
14,MANIPUR,252,BISHNUPUR,2360,MOIRANG,913591,Wangoo Naodakhong,
