                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of MIZORAM State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271236,Aibawk,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271248,Chamring,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271250,Chawilung,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271233,Falkawn,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271244,Hmuifang,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271229,Hualngohmun,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271232,Kelsih,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271249,Lamchhip,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271246,Lungsei,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,931573,Maubuang,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271231,Melriat,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271234,Muallungthu,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271238,Phulpui,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271253,Sailam,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271247,Samlukhai,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271237,Sateek,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271251,Sialsuk,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271243,Sumsuih,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271235,Tachhip,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,271242,Thiak,
15,MIZORAM,261,AIZAWL,2387,AIBAWK,,,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271207,Chhanchhuahna Khawpui,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,933800,Darlawn Chhim Veng,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,933802,Darlawn Venghlun,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,933803,Darlawn Vengpui,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271197,East Damdiai,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271209,East Phaileng,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271215,Hmunnghak,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271208,Kepran,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271194,Khawpuar,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271213,Khawruhlian,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271200,Lungsum,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,931574,Mauchar,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271199,New Vervek,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271192,North Khawdungsei,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271205,North Serzawl,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271187,North Tinghmun,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271189,Palsang,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271210,Pehlawn,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271201,Ratu,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,271203,Sailutar,
15,MIZORAM,261,AIZAWL,2388,DARLAWN,931575,Sakawrdai,
