                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of NAGALAND State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267608,Aghunaqa,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267614,Ahoto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267613,Aoyimchen,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267621,Ghoshito,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267620,Hevuxu,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267618,Homeland,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267610,Hozheto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267606,Hukhai,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267611,Husto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267585,Izhevi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267594,Jekishe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267616,Khehuto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267584,Khutovi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267609,Kikheyi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267590,Luhevi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267600,Luhezhe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267598,L.Vihoto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267605,Mughavi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267617,Ngamjalan,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267596,Nguvihe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267593,Nikihe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267615,Nikikhe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267622,Nitozu,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267607,Nizheto (UR),
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267612,Pihekhu,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267591,P.Vihoto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267603,Qhuhoi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267587,R.Hovishe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267599,Shiwoto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267602,Shokhevi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267604,Tohoi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267588,Tohokhu,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267595,Tokishe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267592,Vikheto,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267589,Xukhuvi,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267597,Yetoho,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,913875,Zhekishe,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267601,Zhexuche,
13,NAGALAND,244,DIMAPUR,6749,AGHUNAQA,267586,Zutoi,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267695,5Th Mile Model,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267711,7th Mile Model,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267709,7th Mile Vill.,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267669,Aoyim,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267664,Aoyimkum,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267688,Aoyimti,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,913849,Bamunpukhuri,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267693,Chekiye,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,913589,Chumukedima A,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267718,Chumukedima Village,
13,NAGALAND,244,DIMAPUR,6748,CHUMUKEDIMA,267677,Darogajan,
