                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of ODISHA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404262,Amantapur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404281,Angarbandha,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404115,Ankula(Part),
21,ODISHA,344,ANUGUL,3276,ANUGUL,405102,Antulia,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405116,Antulia Forest Beat,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405271,Aradiha,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405161,Asanbahal,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404274,Badabahala,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405204,Badadandasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405248,Badahinso,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404272,Badakanjeni,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405268,Badakantakul,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405200,Badakera,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405164,Badakheta,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405118,Badataila,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404230,Badibahal,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405131,Baghamunda,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405162,Baghamunda(F.Beat),
21,ODISHA,344,ANUGUL,3276,ANUGUL,405151,Baghuapat,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405273,Balanga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404254,Balarampur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404278,Balasinga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404288,Baliani,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405106,Balijerenga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404256,Ballavpur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404264,Baluakata,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405257,Banamira,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405246,Bandanpasi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405191,Baniasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405231,Bantala,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405261,Barabandha,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405192,Baradasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405117,Baragotha,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405245,Baragounia,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404234,Barsinga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405237,Basala,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405211,Baulapur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405240,Bedashasana,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405179,Beherasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405104,Betar,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405119,Bhagabatpur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405180,Bhagamunda,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404273,Bhagatpur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405124,Bhalumunda,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405238,Bherubania,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405253,Bhubanapurjungle,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405275,Bhurukundi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405147,Bidisinga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404290,Biswanathapur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404279,Brahmanposi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405212,Brahmapur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405195,Bramhanasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405142,Bruti,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405203,Champatimunda,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405207,Chandanpur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404250,Chandrabahala,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404282,Charadapita,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405241,Chatiagaji,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404263,Chheliapada,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405170,Chhotkei(Chhotakoi),
21,ODISHA,344,ANUGUL,3276,ANUGUL,405198,Dalabeherasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405128,Dalaki,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405129,Dalasinga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405121,Dandasinga,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405222,Dhokata,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405153,Dimiripal,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404277,Fulpal,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405259,Gadatarasa,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405108,Gadeimunda,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405181,Gaindi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405125,Ganjada,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405193,Gaudasahi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405188,Godibandha,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405235,Gohirapasi,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405219,Gopalpur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405171,Gopalpur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405220,Gopalpur Jungle,
21,ODISHA,344,ANUGUL,3276,ANUGUL,405190,Gopinathapur,
21,ODISHA,344,ANUGUL,3276,ANUGUL,404116,Gopinathpur(Part),
21,ODISHA,344,ANUGUL,3276,ANUGUL,405221,Guranga,
