                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of PUDUCHERRY State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645001,Ambagarathur,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,912385,Edatheru,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,912386,Karukankudy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644991,Keezhaiyur (North),
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644992,Keezhaiyur (South),
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645006,Keezhavoor (Part),
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644989,Kizhamanai,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644987,Kottucherry,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644996,Kurumbagaram,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645000,Melakasakudy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,912387,Nallambal,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645002,Nallazhundur,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644999,Nedungadu,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644990,Neravy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645011,Pettai,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644993,Polagam,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644997,Ponbethy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644984,Poovam,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644998,Puthakudy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645010,Sellur,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645009,Sethur,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645004,Sorakudy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645005,Subrayapuram,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645008,Thennankudy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645003,Thevamapuram,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644995,Thirumalairayanpattinam (CT),
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,645007,Thirunallar,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644985,Thiruvettakudy,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644994,Vanjiur,
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644983,Varichikudy (North),
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644986,Varichikudy (South),
34,PUDUCHERRY,598,KARAIKAL,6486,KARAIKAL,644988,Vizhidiur,
34,PUDUCHERRY,598,KARAIKAL,,,,,
34,PUDUCHERRY,599,MAHE,6487,MAHE,,,
34,PUDUCHERRY,599,MAHE,,,,,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644918,Abishegapakkam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912393,Andiarpalayam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644970,Aranganoor,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644921,Ariyankuppam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644978,Bahour,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644964,Embalam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644963,Eripakkam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644977,Irulansanthai,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644974,Kaduvanoor,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912394,Kakkayanthope,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912405,Kalmandapam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644975,Karaiyamputhur,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644962,Kariamanickam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644966,Karikkalampakkam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644971,Kirumampakkam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644965,Korkadu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912383,Krishnavaram,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912388,Kudiyiruppupalayam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644982,Kuruvinatham,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644961,Madukarai,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644976,Manamedu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644979,Manapet,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644922,ManavelI,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912392,Nallavadu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644968,Nettapakkam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644980,Outchimedu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644969,Panayadikuppam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644967,Pandasozhanur,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912389,Pannithittu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644981,Parikalpattu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644972,Pillaiyarkuppam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644920,POORANANKUPPAM,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644926,Pudukuppam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644973,Seliamedu,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912398,Sembianpalayam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912397,Sooramangalam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912384,Soriankuppam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644919,Thavalakuppam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,644917,Thimmanaickenpalayam,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,937521,UTCHIMEDU,
34,PUDUCHERRY,600,PONDICHERRY,6488,ARIANKUPPAM,912391,Veerampattinam,
34,PUDUCHERRY,600,PONDICHERRY,6489,OZHUKARAI,,,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644951,Ariyur,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644924,Chettypet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644948,Goodapakkam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644938,Kalitheerthalkuppam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912400,Kanuvapet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644943,Karasoor,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644927,Kattery,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644952,Kizhur,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644930,Kodathur,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912403,Kottai Medu,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644931,Kunichempet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644928,Kuppam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912401,Kurumbapet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644939,Madagadipet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644958,Manakuppam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644923,Manalipet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644954,Mangalam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644932,Mannadipet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644960,Odiampet (OG),
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644949,OLAVAIKAL,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644950,Oussudu,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644957,Perungalur,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644947,Pillaiyarkuppam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644946,Ramanathapuram,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912396,Sandai Pudukuppam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644937,Sanniyasikuppam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644953,Sathamangalam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644942,Sedarapet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644936,Sellipet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912399,Sivarandagam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644934,Sorapet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912402,Sulthanpet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644925,Suthukeny,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644929,Thethampakkam,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644940,Thirubuvanai,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644956,Thirukanchi,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,912395,Thirukkanur,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644941,Thiruvandarkoil,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644945,Thondamanatham,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644944,Thuthipet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644955,Uruvaiyar,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644933,Vadanur,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644935,Vambupet,
34,PUDUCHERRY,600,PONDICHERRY,6490,VILLIANUR,644959,Villianur (CT),
34,PUDUCHERRY,600,PONDICHERRY,,,,,
34,PUDUCHERRY,601,YANAM,6491,YANAM,,,
34,PUDUCHERRY,601,YANAM,,,,,
,,,,,,,,
"Apr 1, 2022 11:09 AM",,,,,,,,
