                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of RAJASTHAN State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91603,Ajaysar,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91571,Akhri,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91628,Amba Maseena,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91564,Aradka,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91556,Babayacha,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91637,Badiya Ka Bala,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91642,Badlya (CT),
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91565,Baghpura,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91623,Balwanta,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91607,Banseli,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91625,Bargaon,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91618,Beer,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91629,Bhanwata,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91567,Bhawani Khera,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91580,Bhoodol,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91641,Boraj-Kazipura (CT),
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91575,Bubani,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91585,Chachiyawas,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91583,Chandiyawas,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91596,Chawandiya,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91584,Chhatri,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91621,Danta,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91572,Danta,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91626,Daurai (Rural),
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91636,Dedula,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91608,Deo Nagar,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91627,Doomara,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91594,Doongariya Khurd,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91582,Gagwana,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91606,Ganahera,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91573,Gegal,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91614,Ghooghra,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91578,Godiyawas,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91598,Goyala,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91590,Gudha,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91579,Gudha,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91617,Gudli,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91615,Guwardi,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91557,Hansiyawas,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91604,Hathi Khera,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91634,Hatoondi,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91587,Hokaran,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91559,Hoshiyara,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91622,Jatiya,
8,RAJASTHAN,86,AJMER,7382,Ajmer Rural,91570,Jatli,
