                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of SIKKIM State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
11,SIKKIM,225,Gangtok,6533,DUGA,261284,Central Pendam,
11,SIKKIM,225,Gangtok,6533,DUGA,261335,Kamerey Basmey,
11,SIKKIM,225,Gangtok,6533,DUGA,261282,Lingzey,
11,SIKKIM,225,Gangtok,6533,DUGA,261280,Mangthang,
11,SIKKIM,225,Gangtok,6533,DUGA,261334,Pachak,
11,SIKKIM,225,Gangtok,6533,DUGA,261327,Rangpo Forest Block,
11,SIKKIM,225,Gangtok,6533,DUGA,261285,Sajong,
11,SIKKIM,225,Gangtok,6533,DUGA,261281,Sumin,
11,SIKKIM,225,Gangtok,6533,DUGA,261283,West Pendam,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261261,Aritar,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261267,Beng,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261266,Budang Thangsing,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261259,Chadey,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261271,Chisopani,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261265,Dung Dung,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261268,Khamdong,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261262,Lingzey (Simik),
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261274,Namgeythang,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261273,Rabdang,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261270,Sakyong,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261260,Simik,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261326,Singtam Forest Block,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,261269,Sirwani,
11,SIKKIM,225,Gangtok,6532,KHAMDONG,,,
11,SIKKIM,225,Gangtok,6562,MARTAM,261275,Byeng Sang,
11,SIKKIM,225,Gangtok,6562,MARTAM,261286,Chuba,
11,SIKKIM,225,Gangtok,6562,MARTAM,261290,Marchak,
11,SIKKIM,225,Gangtok,6562,MARTAM,261279,Martam,
11,SIKKIM,225,Gangtok,6562,MARTAM,261289,Namin,
11,SIKKIM,225,Gangtok,6562,MARTAM,261287,Namli,
11,SIKKIM,225,Gangtok,6562,MARTAM,261278,Nazitam,
11,SIKKIM,225,Gangtok,6562,MARTAM,261276,Phegyong,
