                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of TAMIL NADU State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636338,Alagapuram,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636343,Andimadam,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636353,Anikudichan (North),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636354,Anikudichan (South),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636334,Authukurichi,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636342,Ayyur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636430,Ayyur (Kanguli) R.F,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636429,Ayyur RF,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636363,Devanur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636341,Edaayankurichi,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636380,Elaiyur (East),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636379,Elaiyur (West),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636357,Kattathur (North),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636358,Kattathur (South),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636360,Kodukkur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636355,Koovathur (North),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636431,Koovathur RF,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636356,Koovathur (South),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636359,Kuvagam,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636433,Kuvagam RF,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636361,Marudur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636364,Melur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636432,Melur Devanur RF,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636428,Mudukulam R.F,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636333,Olaiyur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636346,Periakrishnapuram,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636336,Rangiyam,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636339,Silumbur (North),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636340,Silumbur (South),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636337,Siluvaicheri,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636427,Siluvaicheri RF,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636335,Sriraman,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636434,Thanimarathukadu RF,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636347,Thirukalappur,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636362,Variyankaval,
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636344,Vilandai (North),
33,TAMIL NADU,610,Ariyalur,6255,ANDIMADAM,636345,Vilandai (South),
33,TAMIL NADU,610,Ariyalur,6256,ARIYALUR,636486,Alanduraiyarkattalai,
33,TAMIL NADU,610,Ariyalur,6256,ARIYALUR,636464,Ammenabath,
33,TAMIL NADU,610,Ariyalur,6256,ARIYALUR,636487,Andipattakkadu,
33,TAMIL NADU,610,Ariyalur,6256,ARIYALUR,636466,Ariyalur (North),
33,TAMIL NADU,610,Ariyalur,6256,ARIYALUR,636484,Arungal,
