                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of TELANGANA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
36,TELANGANA,501,ADILABAD,4634,ADILABAD URBAN,,,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569005,Ankapur,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569001,Ankoli,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568993,Anukunta,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568987,Arli (Buzurg),
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569006,Ashodaburki,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569009,Belluri,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568982,Bheemseri,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568999,Burnoor,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568983,Chanda -T,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569016,Chichdhari,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569004,Chinchughat,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568978,Dimma,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568984,Ganeshpur,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569012,Hattigutta,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568976,Jamdapur,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568991,Jamuldhari,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568996,Kachkanti,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569015,Khanapur,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569010,Khandala,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568998,Kottur,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568989,Kumbhajheri,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,568985,Landasangvi,
36,TELANGANA,501,ADILABAD,7142,AIDILABAD RURAL,569011,Lohara,
