                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524971,Ambabari,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524962,Amboli,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524960,Apti,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524946,Athal,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524942,Athola,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524994,Bedpa,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524993,Bensda,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524976,Bildhari,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524963,Bindrabin,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524939,Bonta,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524982,Chauda,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524955,Chikhali,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524953,Chinchpada,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524990,Chinsda,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524997,Dadra (CT),
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524956,Dapada,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524932,Demani,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524943,Dhapsa,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524986,Dolara,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524974,Dudhani,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,921576,FALANDI,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,921572,GALONDA,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524977,Ghodbari,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524967,Goratpada,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524975,Gunsa,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524972,Jamalpada,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524983,Kala,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524944,Kanadi,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524984,Karachgam,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524951,Karad,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524978,Karchond,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524973,Kauncha,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524958,Khadoli,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524965,Khanvel,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524945,Kharadpada,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524996,Khedpa,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524979,Kherarbari,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524985,Kherdi,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524981,Khutali,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524940,Kilavani,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524969,Kothar,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524950,Kudacha,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524954,Luhari,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524991,Mandoni,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,525000,Masat (CT),
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524970,Medha,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524936,Morkhal,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524938,Mota Randha,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524937,Nana Randha,
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,465,DADRA AND NAGAR HAVELI,4276,Dadra Nagar Haveli,524998,Naroli (CT),
