                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of TRIPURA State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
16,TRIPURA,269,Dhalai,2410,Ambassa,272499,Auliraipara,
16,TRIPURA,269,Dhalai,2410,Ambassa,272492,Bagmara,
16,TRIPURA,269,Dhalai,2410,Ambassa,272491,Balaram,
16,TRIPURA,269,Dhalai,2410,Ambassa,272502,Gurudhanpara,
16,TRIPURA,269,Dhalai,2410,Ambassa,272503,Harimangalpara,
16,TRIPURA,269,Dhalai,2410,Ambassa,272498,Jagannathpur,
16,TRIPURA,269,Dhalai,2410,Ambassa,272495,Kamalachhera,
16,TRIPURA,269,Dhalai,2410,Ambassa,272496,Kanchanpur,
16,TRIPURA,269,Dhalai,2410,Ambassa,272500,Kanthalbari,
16,TRIPURA,269,Dhalai,2410,Ambassa,272494,Kulai,
16,TRIPURA,269,Dhalai,2410,Ambassa,272504,Kulai Reserve Forest,
16,TRIPURA,269,Dhalai,2410,Ambassa,272505,Kulai Reserve Forest Extension,
16,TRIPURA,269,Dhalai,2410,Ambassa,272493,Lalchhari,
16,TRIPURA,269,Dhalai,2410,Ambassa,272489,Paschim Nalichhera,
16,TRIPURA,269,Dhalai,2410,Ambassa,272490,Purba Nalichhera,
16,TRIPURA,269,Dhalai,2410,Ambassa,272497,Raipasa,
16,TRIPURA,269,Dhalai,2410,Ambassa,272501,Sikaribari,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272536,Central Catchment Reserve Forest,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272529,Dakshin Longtarai,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272535,Debchhera,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272526,Durgachhera,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272524,Joychandrapara,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272531,Makarchhera,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272533,Manikpur,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272530,Paschim Chhamanu,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272534,Purba Chhamanu,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272527,Sadhujanpara,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272525,Sonapur,
16,TRIPURA,269,Dhalai,2411,Chawmanu,272528,Uttar Longtarai,
16,TRIPURA,269,Dhalai,2411,Chawmanu,,,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272538,Barabari,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272540,Bhagirathpara,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272553,Birchandranagar,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272550,Bulangbasa,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272547,Chitrajhari,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272543,Dalapatipara,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272549,Dhalajhari,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272537,Jagabandhupara,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272539,Jinaraipara,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272556,Joyrampur,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272564,Khedarkut,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272548,Lakshmipur,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272542,Malyansing,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272546,Paschim Gandachhera,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272554,Paschim Kalyansingh,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272544,Purba Gandachhera,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272555,Purba Kalyansing,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272562,Ramnagar,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272561,Ranipukur,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272558,Ratannagar,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272557,Sardeng,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272551,Sarma,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272541,Sipasing,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272545,Utachhera,
16,TRIPURA,269,Dhalai,2412,Dumburnagar,272552,Uttaraipara,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272439,Bamanchhera,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272426,Barasurma,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272431,Bishnupur,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272437,Chhetrai,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272436,Chotosurma,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272440,Chulubari,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272421,Dakshin Bilaschhera,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272434,Darangtilla,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272447,Debichhera,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272443,Duraichhera,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272423,Ganganagar,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272444,Halhali,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272427,Halhuli,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272429,Harerkhola,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,922801,Kalachhari,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272435,Kuchainala,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272432,Lambuchhera,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272438,Longtarai Reserve Forest,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272445,Mahabir,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272441,Manikbhandar,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272425,Marachhera,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272430,Mayachhari,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272433,Methirmia,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272424,Mohanpur,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272422,Noagao,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272428,Panchasi,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272442,Srirampur,
16,TRIPURA,269,Dhalai,6729,Durgachowmuhani,272420,Uttar Bilaschhera,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272510,Baluchhera,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272516,Batabari,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272511,Chakmapara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272521,Dangamapara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272515,Ganganagar,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272520,Gangaprasadpara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272506,Karamapara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272508,Karnamunipara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272513,Khamupara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272514,Khowaipar,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272509,Lalchhera,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272517,Pustaraipara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272519,Radharambari,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272518,Sardingkhapara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272522,Satbhaiyapara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272523,Siddhapara,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272512,Tetaiya,
16,TRIPURA,269,Dhalai,6781,Ganganagar,272507,Ulemchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272484,Chhailengta,
16,TRIPURA,269,Dhalai,2413,Manu,272477,Dakshin Dhumachhera,
16,TRIPURA,269,Dhalai,2413,Manu,272467,Demchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272472,Deo Reserve Forest,
16,TRIPURA,269,Dhalai,2413,Manu,272483,Gaynama,
16,TRIPURA,269,Dhalai,2413,Manu,272485,Ghagrachhera,
16,TRIPURA,269,Dhalai,2413,Manu,272481,Jamirchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272479,Jarulchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272470,Kanchanchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272466,Kanthalchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272468,Karatichhera,
16,TRIPURA,269,Dhalai,2413,Manu,272486,Lalchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272482,Longtarai Reserve Forest,
16,TRIPURA,269,Dhalai,2413,Manu,272488,Manu,
16,TRIPURA,269,Dhalai,2413,Manu,272487,Manu Chhailengta Reserve Forest,
16,TRIPURA,269,Dhalai,2413,Manu,272480,Maynama,
16,TRIPURA,269,Dhalai,2413,Manu,272469,Nalkata,
16,TRIPURA,269,Dhalai,2413,Manu,272474,Paschim Karamchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272475,Paschim Machli,
16,TRIPURA,269,Dhalai,2413,Manu,272473,Purba Karamchhera,
16,TRIPURA,269,Dhalai,2413,Manu,272478,Purba Machli,
16,TRIPURA,269,Dhalai,2413,Manu,272471,Ultachhera,
16,TRIPURA,269,Dhalai,2413,Manu,272476,Uttar Dhumachhera,
16,TRIPURA,269,Dhalai,6780,Raishyabari,272569,Boalkhali,
16,TRIPURA,269,Dhalai,6780,Raishyabari,272571,Jarulchhera,
16,TRIPURA,269,Dhalai,6780,Raishyabari,272566,Kamala Asram,
16,TRIPURA,269,Dhalai,6780,Raishyabari,272565,Kamalakhal,
