                                                Local Government Directory,,,,,,,,
,,,,,,,,
All Blocks of UTTARAKHAND State,,,,,,,,
,,,,,,,,
State Code,State Name     (In English),District Code,District Name (In English),Block Code,Block Name   (In English),Village Code, Village Name     ( In English) ,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52894,Airi Khan,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52876,Alai Supyal,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52883,Anarsa,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52802,Baburiya Nayal,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52901,Baisiya Chhana,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52859,Bajyoli,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52798,Bakhariya Tana,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52877,Baman Tilari,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52931,Bamouri Khalsa,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52851,Barakote,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52845,Bargal,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52903,Baruwa Tana,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,51653,Batula,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52906,Baura,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52723,Belakkalaso,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52801,Belawalgaon,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52898,Bhanjar,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52872,Bheta Bariya,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52869,Bheta Dangi,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52871,Brahma Tana,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52803,Bunga,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52865,Chanoli,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52879,Chhani,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52848,Chirala,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52868,Dalakote,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52870,Dashoun,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52861,Daula,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52847,Deora,
5,UTTARAKHAND,45,ALMORA,352,BHAISIYA CHHANA,52860,Dhamoli,
